date_completed,source,source_qid,correct,confidence,timed,discipline,organ_system,entry_point,final_diagnosis,discriminating_clue,confirmatory_test,next_best_step,first_intervention,definitive_management,common_trap,error_type,error_note,educational_value,takeaway
3/22/2026,usmlerx,21135.1,FALSE,low,FALSE,OBGYN,Reproductive,Pregnancy associated hypertension,oligohydramnios,decreased amniotic fluid index,Ultrasound scan - obstetric,nonstress test,fetal biophysical profile,obstetric delivery,immediate delivery or amniotransfusion,did_not_know_next_best_step,confused indication for amnioinfusion vs surveillance; did not recognize stable BPP (8/10),3,"Oligohydramnios alone with reassuring BPP at 35 weeks -> surveillance, not intervention.  Amnioinfusion is for variable decelerations during labor, not antenatal management."
3/22/2026,usmlerx,44374.1,FALSE,high,FALSE,Internal Medicine,Cardiovascular,dyspnea,high output heart failure,hyperdynamic left ventricle,Doppler ultrasonography of arteriovenous fistula,Doppler ultrasonography of arteriovenous fistula,Doppler ultrasonography of arteriovenous fistula,arteriovenous fistula revision,treating milk hyperkalemia with intravenous calcium,anchored_too_early,anchored on hyperkalemia and selected intravenous calcium without integrating hyperdynamic left ventricle and arteriovenous fistula,3,hyperdynamic left ventricle with arteriovenous fistula suggests high-output heart failure requiring fistula evaluation rather than hyperkalemia treatment
3/22/2026,usmlerx,22913.4,FALSE,medium,FALSE,Internal Medicine,Neurology,generalized seizures,tricyclic antidepressant poisoning,ECG: tall R wave in aVR,Electrocardiography,sodium bicarbonate,benzodiazepine,sodium bicarbonate,phenytoin,management_gap,selected phenytoin without recognizing sodium channel blockade pattern requiring sodium bicarbonate,3,seizure with widened QRS and tall R in aVR indicates TCA toxicity requiring sodium bicarbonate rather than standard antiepileptic escalation
3/23/2026,usmlerx,45018.1,FALSE,medium,FALSE,Ethics,Health Systems,healthcare utilization,,,,,,,,diagnostic_confusion,confused cost structure and access limitations of HMO versus PPO for high utilization patient,2,high utilization patients benefit from PPO flexibility while low utilization patients benefit from high deductible plans
3/23/2026,usmlerx,43968.1,FALSE,low,FALSE,Internal Medicine,Pulmonary,dyspnea,idiopathic pulmonary fibrosis,honeycomb appearance,high resolution ct of lungs,pirfenidone,oxygen saturation measurement,antifibrotic agents,treating mild hypoxemia with oxygen therapy alone,management_gap,selected oxygen therapy without recognizing need for antifibrotic treatment in IPF,3,honeycombing and restrictive PFTs indicate IPD requiring antifibrotic therapy rather than supportive oxygen alone
3/23/2026,usmlerx,23586.7,TRUE,low,FALSE,Internal Medicine,Cardiovascular,dyspnea,"pericarditis, constrictive",pulsus paradoxus,echocardiography,cardiac catheterization procedures,hemodynamic monitoring,pericardiectomy,diagnosing cardiac tamponade based on pulsus paradoxus,low_confidence_correct,confusion between constrictive pericarditis and tamponade physiology,3,post cardiac surgery JVD without inspiratory decline suggests constrictive pericarditis over tamponade
3/23/2026,usmlerx,21105.1,TRUE,low,FALSE,OBGYN,Reproductive,vaginal discharge,pelvic inflammatory disease,purulent cervical discharge,clinical diagnosis,urine pregnancy test,empirical antibiotic therapy,antibiotic therapy,anchoring on salpingitis instead of broader PID,low_confidence_correct,correct answer chosen without fully recognizing PID as unifying diagnosis,3,always rule out pregnancy first in reproductive age women before further management
3/23/2026,usmlerx,43289.1,FALSE,high,FALSE,Internal Medicine,Infectious Disease,productive cough,nocardia infections,partially acid-fast bacillus,acid fast stain,Trimethoprim-Sulfamethoxazole Combination,immune status,antibiotic therapy,choosing actinomyces due to branching rodes,diagnostic_confusion,failed to distinguish weakly acid fast nocardia from non acid fast actinomyces,3,weakly acid fast branching rods in immunocompromised host indicates nocardia not actinomyces
3/23/2026,usmlerx,22235.5,FALSE,low,FALSE,Internal Medicine,Cardiovascular,carotid bruit,symptomatic carotid artery stenosis,history of cerebrovascular accident due to ischemia,"ultrasonography, carotid arteries",carotid entarterectomy,antiplatelet therapy,carotid entarterectomy,choosing carotid stenting instead of endarterectomy,did_not_know_next_best_step,selected angioplasty instead of surgery for symptomatic high grade stenosis,3,symptomatic carotid stenosis greater than 70% requires endarterectomy not stenting
3/23/2026,usmlerx,21613.1,FALSE,medium,FALSE,Internal Medicine,Rheumatology,monoarthritis,gout flare,negative birefringent needle shaped crystals,synovial fluid analysis,intraarticular corticosteroid therapy,steroid therapy,urate lowering therapy,using NSAIDs despite renal disease,contraindicated_if,"chose NSAID despite CKD and CHF contraindications, colchicine also contraindicated",3,acute gout with CKD requires steroids not NSAIDs or colchicine
