source_node,source_type,relationship_type,target_node,target_type,weight,note,source_qid
21135.1,Question,tests,oligohydramnios,Disease,3,,21135.1
placental insufficiency,RiskFactor,risk_factor_for,oligohydramnios,Disease,2,,21135.1
fetal heart finding,Finding,suggests,stable status,Finding,3,,21135.1
Pregnancy associated hypertension,EntryPoint,activates_differential_for,oligohydramnios,Disease,2,,21135.1
oligohydramnios,Disease,confirmed_by,Ultrasound scan - obstetric,Test,3,,21135.1
oligohydramnios,Disease,confirmed_by,decreased amniotic fluid index,Finding,3,,21135.1
oligohydramnios,Disease,next_step_is,nonstress test,Test,3,,21135.1
oligohydramnios,Disease,treated_with,obstetric delivery,Treatment,3,,21135.1
oligohydramnios,Disease,requires_first,fetal biophysical profile,Test,3,,21135.1
oligohydramnios,Disease,discriminates_from,"Fetal Membranes, Premature Rupture",Finding,2,,21135.1
decreased amniotic fluid index,Finding,suggests,oligohydramnios,Disease,3,,21135.1
fetal biophysical profile,Test,confirms,antepartum fetal status,Finding,2,,21135.1
antenatal fetal health surveillance,Treatment,includes,nonstress test,Test,2,,21135.1
antenatal fetal health surveillance,Treatment,includes,fetal biophysical profile,Test,2,,21135.1
variable heart rate decelerations,Finding,treated_with,amnioinfusion,Treatment,3,,21135.1
21135.1,Question,diagnostic_confusion,expectant management if stable,AlgorithmStep,3,,21135.1
21135.1,Question,did_not_know_next_best_step,oligohydramnios,Disease,3,,21135.1
21135.1,Question,missed_key_clue,antepartum fetal status,Finding,3,,21135.1
dyspnea,EntryPoint,activates_differential_for,high output heart failure,Disease,3,,44374.1
arteriovenous fistula,RiskFactor,risk_factor_for,high output heart failure,Disease,3,,44374.1
hyperdynamic left ventricle,Finding,suggests,high output heart failure,Disease,3,,44374.1
widened pulse pressure,Finding,suggests,high output heart failure,Disease,2,,44374.1
pulmonary vascular congestion,Finding,suggests,heart failure,Disease,3,,44374.1
orthopnea,Finding,suggests,heart failure,Disease,3,,44374.1
pedal edema,Finding,suggests,heart failure,Disease,2,,44374.1
high output heart failure,Disease,confirmed_by,Doppler ultrasonography of arteriovenous fistula,Test,3,,44374.1
high output heart failure,Disease,next_step_is,Doppler ultrasonography of arteriovenous fistula,Test,3,,44374.1
high output heart failure,Disease,treated_with,arteriovenous fistula revision,Treatment,2,,44374.1
44374.1,Question,anchored_too_early,hyperkalemia,Finding,3,,44374.1
44374.1,Question,missed_key_clue,hyperdynamic left ventricle,Finding,3,,44374.1
44374.1,Question,missed_key_clue,arteriovenous fistula,RiskFactor,3,,44374.1
44374.1,Question,did_not_recognize_pattern,high output heart failure,Disease,3,,44374.1
22913.4,Question,tests,tricyclic antidepressant poisoning,Disease,3,,22913.4
22913.4,Question,uses_entry_point,generalized seizures,EntryPoint,3,,22913.4
generalized seizures,EntryPoint,activates_differential_for,tricyclic antidepressant poisoning,Disease,3,,22913.4
generalized seizures,EntryPoint,activates_differential_for,status epilepticus,Disease,3,,22913.4
major depressive disorder,RiskFactor,risk_factor_for,tricyclic antidepressant poisoning,Disease,2,,22913.4
sodium channel blockade,Complication,can_cause,tricyclic antidepressant poisoning,Disease,3,,22913.4
ECG: tall R wave in aVR,Finding,suggests,tricyclic antidepressant poisoning,Disease,3,,22913.4
Wide QRS complex,Finding,suggests,tricyclic antidepressant poisoning,Disease,3,,22913.4
"seizures, refractory",Finding,suggests,tricyclic antidepressant poisoning,Disease,2,,22913.4
hypotension,Finding,suggests,tricyclic antidepressant poisoning,Disease,2,,22913.4
tricyclic antidepressant poisoning,Disease,next_step_is,sodium bicarbonate,AlgorithmStep,3,,22913.4
tricyclic antidepressant poisoning,Disease,treated_with,sodium bicarbonate,Treatment,3,,22913.4
status epilepticus,Disease,requires_first,benzodiazepine,Treatment,3,,22913.4
wide QRS complex,Finding,discriminates_from,generalized seizures,Disease,3,,22913.4
phenytoin,Treatment,contraindicated_if,tricyclic antidepressant poisoning,Disease,3,,22913.4
22913.4,Question,management_gap,phenytoin,Treatment,3,,22913.4
22913.4,Question,missed_key_clue,Wide QRS complex,Finding,3,,22913.4
22913.4,Question,did_not_recognize_pattern,tricyclic antidepressant poisoning,Disease,3,,22913.4
22913.4,Question,anchored_too_early,status epilepticus,Disease,2,,22913.4
43968.1,Question,tests,idiopathic pulmonary fibrosis,Disease,3,,43968.1
43968.1,Question,uses_entry_point,dyspnea,EntryPoint,3,,43968.1
dyspnea,EntryPoint,activates_differential_for,idiopathic pulmonary fibrosis,Disease,3,,43968.1
Elderly (population group),RiskFactor,risk_factor_for,idiopathic pulmonary fibrosis,Disease,2,,43968.1
honeycomb appearance,Finding,suggests,idiopathic pulmonary fibrosis,Disease,3,,43968.1
decreased carbon monoxide diffusing capacity,Finding,suggests,idiopathic pulmonary fibrosis,Disease,3,,43968.1
pulmonary function tests show restrictive deficit,Finding,suggests,idiopathic pulmonary fibrosis,Disease,3,,43968.1
basilar rales,Finding,suggests,idiopathic pulmonary fibrosis,,2,,43968.1
idiopathic pulmonary fibrosis,Disease,next_step_is,pirfenidone,Treatment,3,,43968.1
idiopathic pulmonary fibrosis,Disease,treated_with,antifibrotic agents,Treatment,3,,43968.1
idiopathic pulmonary fibrosis,Disease,requires_first,oxygen saturation measurement,AlgorithmStep,2,,43968.1
