Timestamp,block date,qbank,timed block?,QID,how confident were you with the answer you selected?,how many distractors did you correctly eliminate?,did you get the correct answer?,recreate the question task verbatim,entry point,key signals,is the patient stable?,what is the diagnosis?,discriminating clue,error type,key takeaway,picked response,keyed response
3/29/2026 20:29:45,03/22/2026,USMLERx,No,21135.1,low,1-2,No,Which of the following is the best next step in management?,gestational hypertension,"gestational hypertension, decreased amniotic fluid index",Yes,Oligohydramnios,decreased amniotic fluid index,management_gap,"Oligohydramnios with reassuring BPP at 35 weeks -> surveillance, not intervention",,
3/29/2026 20:37:34,03/22/2026,USMLERx,No,44374.1,high,3-4,No,Which of the following is the most appropriate next step in the management of this patient?,dyspnea,"Orthopnea, HTN, CAD, ESRD, AV fistula, crackles, RSB murmur, pulmonary vascular congestion, hyperdynamic left ventricle",No,High output heart failure,hyperdynamic left ventricle in a patient with recent AV fistula creation,anchored_too_early,Anchored on hyperkalemia and selected intravenous calcium without integrating hyperdynamic left ventricle and AV fistula,,
3/29/2026 20:40:58,03/22/2026,USMLERx,No,22913.4,medium,3-4,No,Which of the following is the most appropriate next step in management of the patient’s condition?,generalized seizures,"MDD, fever, tachycardia, hypotension, tall R wave in aVR",No,TCA overdose,"MDD, tall R wave in AVR",management_gap,Selected phenytoin without recognizing sodium channel blockade pattern requiring sodium bicarbonate as well,,
3/29/2026 20:45:10,03/23/2026,USMLERx,No,45018.1,medium,3-4,No,Which of the following combinations of health insurance plans is most appropriate for this patient and her son?,health insurance,"Patient has frequent specialist visits, son is healthy",Yes,PPO,frequent specialist and ER visits,diagnostic_confusion,Confused cost structure and access limitations of HMO vs PPO for high utilization patient,,
3/29/2026 20:50:09,03/23/2026,USMLERx,No,43968.1,low,0,No,Which of the following is the most appropriate next step in management?,dyspnea and cough,"DM, HTN, increased FEV1/FVC, decreased TLC, CT fibrosis, honeycombing",Yes,IPF,honeycombing,management_gap,Selected oxygen therapy without recognizing need for antifibrotic treatment (pirfenidone) in IPF,,
3/29/2026 20:54:26,03/23/2026,USMLERx,No,23586.7,low,3-4,Yes,Which of the following factors in this patient’s history most increased the risk for developing this condition?,dyspnea,"aortic valve replacement, warfarin, CAD, MI, schizophrenia, clozapine, laryngeal carcinoma, smoker, JVD, crackles, pulsus paradoxus, tachycardia",No,constrictive pericarditis,"JVD, pulsus paradoxus",low_confidence_correct,Pulsus paradoxus is seen in both constrictive pericarditis and tamponade,,
3/29/2026 20:57:35,03/23/2026,USMLERx,No,21105.1,low,0,Yes,Which of the following is the most appropriate next step in management?,bilateral lower abdominal pain and vaginal discharge,"sexually active, OCP, menstrual pain, fever, RLQ tenderness, adnexal tenderness, purulent cervical discharge",Yes,PID,purulent cervical discharge,low_confidence_correct,i thought it was salpingitis but the broader picture is pelvic inflammatory disease,,
3/29/2026 21:00:43,03/23/2026,USMLERx,No,43289.1,high,5+,No,Which of the following organisms is the most likely cause of this patient’s condition?,productive cough and drenching night sweats,"weight loss, immunocompromised, gardening, fever, acid-fast branching rods on image, pulmonary abscesses",Yes,nocardiosis,acid-fast branching rods,did_not_recognize_pattern,Weakly acid fast branching rods in immunocompromised host indicates nocardia not actinomyces,,
3/29/2026 21:03:40,03/23/2026,USMLERx,No,22235.5,low,0,No,Which of the following is the most appropriate next step in management?,carotid bruit,"Ischemic stroke, HTN, dyslipidemia, losartan, amlodipine, rosuvastatin, aspirin, 75% stenosis of left carotid artery",No,Symptomatic carotid artery stenosis,75% stenosis of the left carotid artery,management_gap,Symptomatic carotid stenosis greater than 70% requires endarterectomy not stenting,,
3/29/2026 21:07:21,03/23/2026,USMLERx,No,21613.1,medium,0,No,Which of the following is the most appropriate pharmacotherapy at this time?,left foot and ankle pain,"severe pain, CKD, DM, CHF, metoprolol, lisinopril, obese, inflamed left halux, elevated creatinine and uric acid, elevated synovial fluid count, negatively birefringent crystals on polarized light",Yes,Acute gout attack,negatively birefringent crystals on polarized light,missed_key_clue,"Acute gout with CKD requires steroids, not NSAIDs or colchicine",,
3/29/2026 21:12:03,03/23/2026,USMLERx,No,21848.7,medium,3-4,No,Which of the following is the most appropriate next step in the management of this patient?,altered mental status,"nausea, vomiting, DM, hyperkalemia, elevated BUN, elevated creatinine, HTN, asterixis, edema, hyperglycemia, acidosis, hyperkalemia, hypernatremia",No,Uremia,"asterixis, ESRD",anchored_too_early,Focused on DKA instead of uremia,,
3/29/2026 21:14:53,03/23/2026,USMLERx,No,43814.1,low,5+,Yes,Which of the following is the most appropriate next step in management?,polyuria,"parkinson disease, benztropine, elevated BUN, elevated creatinine, hyperglycemia, persistent polyuria, elevated urine sodium",Yes,Postobstructive diuresis,Persistent polyuria following catheterization,correct_wrong_reason,did not know post obstructive diuresis,,
3/29/2026 21:18:04,03/24/2026,USMLERx,No,44266.1,medium,3-4,No,Which of the following is the best interpretation of the positive likelihood ratio result?,stats,positive likelihood ratio,Yes,Likelihood ratio,n/a,overthought,Misinterpreted likelihood ratio as odds ratio,,
3/29/2026 21:20:44,03/24/2026,USMLERx,No,43638.3,low,3-4,No,Which of the following is the most likely diagnosis?,painful rash around his anus,pain with defecation,Yes,Perianal bacterial dermatitis,pain with defecation,did_not_recognize_pattern,Went with a familiar distractor (psoriasis) because i did not know perianal bacterial dermatitis,,
3/29/2026 21:23:30,03/24/2026,USMLERx,No,43770.2,medium,1-2,No,Which of the following is the most appropriate initial step in management?,swelling in both legs,"Cough, congestion, runny nose, DM, pitting edema, nephrotic range proteinuria, normal complement levels",Yes,Membranous glomerulonephritis,"normal complement levels, nephrotic syndrome",management_gap,Initial serologic testing for nephrotic syndrome includes PLA2R antibody testing,,
3/29/2026 21:27:58,03/24/2026,USMLERx,No,39466.4,medium,3-4,No,Which of the following studies is most likely to confirm the diagnosis?,severe headache,"blurry vision, muscle weakness, HTN, lisinopril, amlodipine, HCTZ, family history of HTN and stroke, hypokalemia, elevated bicarbonate",Yes,conn syndrome,"metabolic alkalosis, family history",management_gap,"The most appropriate diagnostic test for primary hyperaldosteronism is an oral sodium loading test or saline infusion test, which confirms that aldosterone secretion is autonomous and not suppressible.",,
3/29/2026 21:31:28,03/24/2026,USMLERx,No,21322.9,medium,1-2,No,Which of the following is most likely to confirm the diagnosis?,right knee pain,"Soccer game, felt a pop, knee gives out, right knee effusion",Yes,ACL tear,"Mechanism of injury, effusion",did_not_recognize_pattern,"Acute hemarthrosis after pivot injury indicates ACL tear, PCL more likely in steering wheel hitting knee in car accident",,
3/29/2026 21:34:27,03/24/2026,USMLERx,No,43162.2,low,1-2,No,Which of the following is the most appropriate pharmacotherapy?,"fatigue, weakness, dry cough","Sulfa allergy, HIV, fever, methenamine silver stain reveals large cystlike structures, low CD4 count, G6PD deficiency",Yes,PCP pneumonia,positive methenamine silver stain,diagnostic_confusion,PCP pneumonia in a patient with sulfa allergy and G6PD deficiency is treated with atovaquone,,
3/29/2026 21:37:46,03/24/2026,USMLERx,No,44091.1,medium,3-4,No,Which of the following is the most appropriate recommendation to reduce readmission to the hospital?,dyspnea,"CKD, HTN, losartan, metoprolol, HTN, crackles, S3, elevated JVP, pitting edema, anemia, elevated troponins, elevated BUN, elevated creatinine, reduced GFR, elevated BNP, large R waves, deep S waves",Yes,Heart failure,Elevated BNP,anchored_too_early,Mildly elevated troponins is seen in heart failure (not only MI),,
3/29/2026 21:41:48,03/25/2026,USMLERx,No,21850.6,low,1-2,No,Supplementation with which of the following would be most likely to assist in resolution of all of this patient’s neurologic symptoms and findings?,Tingling in fingers and lips,"alcohol abuse, alcohol withdrawal, chvostek’s sign, trousseau’s sign, treatment refractory hypokalemia",No,Hypomagnesemia,"treatment refractory hypokalemia, hypocalcemia",diagnostic_confusion,Hypomagnesemia causes refractory hypocalcemia and hypokalemia and must be corrected first,,
3/29/2026 21:44:45,03/25/2026,USMLERx,No,22451.6,low,0,Yes,Which of the following is the most appropriate initial step in management?,"fever, facial pain, and epistaxis","altered mental status, immunocompromised, fever, purulent nasal discharge, nasal necrosis, branching, septated hyphae",Yes,Invasive aspergillosis,"branching, septated hyphae",correct_wrong_reason,"Septated, branching hyphae suggests aspergillosis over mucormycosis",,
3/29/2026 21:48:04,03/25/2026,USMLERx,No,43693.1,low,1-2,Yes,Which of the following is the most likely diagnosis?,rash,"flaky rash, streptococcal pharyngitis, individual lesions covered by thick scales",Yes,Guttate psoriasis,"Recent GAS infection, plaques covered by thick scale",low_confidence_correct,"Guttate psoriasis presents with a widespread and symmetrically distributed eruption composed of erythematous papules and plaques covered by thick, adherent scale.  This condition often occurs 2 to 3 weeks after infection with GAS.",,
3/29/2026 21:50:56,03/25/2026,USMLERx,No,43938.1,medium,3-4,No,Which of the following is the most appropriate next step in management?,blunt head trauma,"GCS7, HTN, normal neurological exam, large laceration coated with debris, palpable step off",Yes,"Open, depressed skull fracture","palpable step-off, laceration with debris",management_gap,Open skull fractures with contamination warrant prophylactic antibiotic use,,
3/29/2026 21:54:10,03/25/2026,USMLERx,No,46964.1,medium,3-4,No,Which of the following is the most appropriate pharmacotherapy for management of this patient’s migraine headaches?,migraine management,"frequent migraines, photophobia, phonophobia, propranolol ineffective, amitriptyline ineffective, sumatriptan works, nephrolithiasis",Yes,Treatment resistant migraine,nephrolithiasis,missed_key_clue,Topiramate is contraindicated in patients with nephrolithiasis,,
3/29/2026 21:56:44,03/25/2026,USMLERx,No,24629.3,low,1-2,Yes,Which of the following is most likely to confirm the diagnosis?,fever and anorexia,"chills, night sweats, exertional dyspnea, cough, bloody sputum, rural mexico, fever, tachycardia, ill, diastolic murmur, crackles, splinter hemorrhages",Yes,Infective endocarditis,"fever, constitutional symptoms, splinter hemorrhages",management_gap,"Since the blood cultures were already drawn, echocardiography is the next step to confirm the diagnosis",,
3/29/2026 21:59:48,03/26/2026,USMLERx,No,21455.14,medium,1-2,No,Which of the following is most likely to confirm the underlying cause of the diagnosis?,Blurred vision,"photophobia, knee pain, stiff hips, conjunctivitis, arthritis, nontender genital ulcer",Yes,Reactive arthritis,the mucosal ulceration is circinate balanitis,changed_right_to_wrong,"I thought the lesion was syphilitic, but syphilis does not cause reactive arthritis",,
3/29/2026 22:02:51,03/26/2026,USMLERx,No,43695.1,medium,1-2,No,Which of the following is the most likely cause of this patient’s condition?,worsening swelling in feet and legs,"HIV, noncompliant, smoker, HTN, diminished breath sounds, pleural effusions, transudative pleural effusion",Yes,FSGS,"nephrotic syndrome, HIV, transudate",diagnostic_confusion,Nephrotic syndrome associated with FSGS is suspect in a patient with HIV/AIDS,,
3/29/2026 22:06:27,03/26/2026,USMLERx,No,21459.9,medium,3-4,No,Which of the following medications is most likely explanation for these laboratory findings?,swelling in ankles and puffy eyes,"Rheumatoid arthritis, tachycardia, HTN, reduced GFR, proteinuria, elevated protein:creatinine ratio",Yes,NSAID-induced nephrotic syndrome,"proteinuria, edema, elevated protein:creatinine ratio",diagnostic_confusion,"Methotrexate can cause tubular necrosis, NSAIDS can cause secondary nephrotic syndrome in patients with RA",,
3/29/2026 22:12:04,03/27/2026,USMLERx,No,43807.2,low,1-2,Yes,Which of the following is the most appropriate next step in management?,dizziness and lightheadedness,"exertional dyspnea, HTN, DM, HFrEF, tachycardia, hypotension, cool lower extremities, decreased pulses, livedo reticularis, decreased lung sounds, hyponatremia, elevated BUN, elevated creatinine, reduced hemoglobin, bland urinalysis, CXR enlarged cardiac silhouette, no change in urine output after furosemide",No,cardiogenic shock,Oliguria despite furosemide,low_confidence_correct,An inotropic agent is preferred to treat cardiogenic shock,,
3/29/2026 22:15:17,03/27/2026,USMLERx,No,43238.1,low,1-2,No,"After initiating treatment, this patient is most likely to develop which of the following adverse effects?",memory loss,"getting lost, losing track of day, personality change, MSE 22, impaired orientation, impaired recall, difficulty naming objects, MRI shows temporal lobe and frontal lobe atrophy",Yes,Alzheimer’s dementia,MRI shows temporal and frontal lobe atrophy,diagnostic_confusion,Mistook Alzheimer’s presentation for FTLD,,
3/29/2026 22:18:35,03/28/2026,USMLERx,No,24408.6,low,3-4,No,Which of the following is the most appropriate medication for management of this patient’s condition?,stabbing pain behind right eye,"high frequency low duration, drooping of right eyelid, redness and tearing of eye, rhinorrhea, normal CT and MRI findings, 100% oxygen and sumatriptan do not relieve",Yes,Paroxysmal hemicrania,high frequency and shorter duration vs cluster headache,did_not_recognize_pattern,Paroxysmal hemicrania is treated with indomethacin,,
3/29/2026 22:21:09,03/26/2026,USMLERx,No,43374.2,medium,3-4,No,Which of the following is the most appropriate next step in management?,alcohol detoxification,"Alcohol abuse, withdrawal symptoms, MDD, fluoxetine, diaphoresis, red lesions on trunk, itchiness, smooth red tongue, coarse tremor, ascites, elevated MCV",Yes,Alcohol withdrawal syndrome,liver cirrhosis,missed_key_clue,"Patients with liver disease should receive oxazepam, lorazepam, or temazepam because other benzodiazepines are metabolized by the liver and are contraindicated here.",,
3/29/2026 22:23:33,03/26/2026,USMLERx,No,24572.5,low,3-4,No,Which of the following laboratory studies is the most appropriate next diagnostic test for this patient?,hepatitis C infection,"new onset HTN, edema, proteinuria, hematuria",Yes,Nephritic syndrome,hepatitis C infection,diagnostic_confusion,"HBV is associated with membranous nephropathy, HCV is associated with MPGN",,
3/29/2026 22:26:02,03/26/2026,USMLERx,No,24134.11,low,0,No,Which of the following is the most appropriate next step in management?,gross hematuria,"intermittent severe flank pain, smoker, family history of brain aneurysm, HTN, ultrasound shows renal enlargement with multiple cysts bilaterally",Yes,ADPKD,renal enlargement with multiple cysts bilaterally,management_gap,Hypertensive patients with ADPKD should be treated with RAAS-blocking medications such as lisinopril or losartan,,
3/29/2026 22:29:06,03/26/2026,USMLERx,No,40200.2,low,0,No,Which of the following findings is the best indicator that the pharmacotherapy can be stopped in this patient?,"diarrhea, vomiting, abdominal pain","MDD, jaundice, hepatomegaly, leukocytosis, elevated INR, hypoglycemia, highly elevated transaminases",Yes,Acetaminophen-induced liver failure,"Encephalopathy, hypoglycemia, coagulopathy",management_gap,A finding of AST less than half of its peak level is the best indicator for NAC discontinuation.,,
3/30/2026 9:11:40,03/30/2026,USMLERx,No,43634.1,medium,3-4,No,Which of the following is the most likely diagnosis?,abdominal rash,"itchy rash, midline rash inferior to umbilicus, thick rash",Yes,Allergic contact dermatitis,lichenified skin near pant line,did_not_recognize_pattern,"Nickel ACD presents with a pruritic eczematous rash, in a distribution plausible for contact with allergen (belt line).  Nickel is the most common cause of ACD worldwide.",Psoriasis,Allergic contact dermatitis
3/30/2026 9:18:32,03/30/2026,USMLERx,No,45015.1,medium,3-4,No,Which of the following represents the most effective approach to interprofessional collaboration for this patient’s care?,community-acquired pneumonia,"altered mental status, multiple comorbidities",Yes,Interprofessional collaboration,complex clinical picture,missed_instability,Daily interdisciplinary rounds represent the gold standard for collaborative care.  This approach is particularly valuable for complex hospitalized patients with multifaceted issues requiring input from multiple specialities.,Conduct a multidisciplinary care planning meeting,Implement daily interdisciplinary bedside rounds
3/30/2026 9:29:19,03/30/2026,USMLERx,No,22192.11,medium,3-4,No,Which of the following is the most appropriate pharmacotherapy at this time?,unilateral throbbing headache preceded by episodes of seeing flashes of light,"current headache, ibuprofen ineffective, MI, HTN, HF, Fhx migraine",Yes,Migraine with aura,"PMH MI, HF",management_gap,"The first line agents for mild to moderate migraine attacks, not associated with severe nausea or vomiting, are simple analgesics.  Triptans are contraindicated in patients with heart issues.",Sumatriptan,Acetaminophen
3/30/2026 9:51:00,03/30/2026,USMLERx,No,21502.7,low,1-2,Yes,Which of the following is the best management option for this patient?,rupture of membranes,"negative GBS, prior cesarean, vertex presentation, reassuring pattern, 12 hours without cervical change, mild contractions",Yes,Rupture of membranes and stage 0 of labor,no cervical change for 12 hours,low_confidence_correct,"After 12 hours of no cervical change and mild contractions, labor needs to be augmented by oxytocin with continuous monitoring since this patients wishes to attempt vaginal delivery after cesarean.",oxytocin labor augmentation with continuous monitoring,same as picked response
3/30/2026 9:58:00,03/30/2026,USMLERx,No,22906.8,medium,1-2,No,Which of the following is the best recommendation for prostate cancer screening at this time?,Routine physical examination,61 yo male,Yes,PSA,61 yo male,management_gap,Individuals with a prostate aged 55 to 69 years who decide to be screened should undergo screening with PSA.,Digital rectal examination alone,Screening with prostate specific antigen alone
3/30/2026 10:06:35,03/30/2026,USMLERx,No,43940.1,low,1-2,No,Which of the following is the most appropriate next step in management?,"headache, sharp eye pain, feeling of seeing a small cloudy shadow in part of his left eye","mild conjunctival erythema, small piece of embedded glass in cornea, hyphema",Yes,Penetrating globe injury,embedded foreign body with hyphema,management_gap,"pain management should be intravenous in a patient with embedded foreign body, the best initial management is placing an eye shield, elevating the head of bed to 30 degrees, ophthalmology consult for removal.",Application of proparacaine eye drops,Head elevation to 30 degrees
3/30/2026 11:36:06,03/30/2026,USMLERx,No,46447.1,low,3-4,No,Which of the following is the most likely diagnosis?,foot pain,"Female, burning pain, shooting pain, between third and fourth toes, worse with tight shoes, lateral compression of forefoot produces an audible click with reproduction of pain",Yes,Interdigital neuroma (Morton neuroma),"Third interdigital space, female, positive mulder sign",did_not_recognize_pattern,"Interdigital (Morton) neuroma is a benign perineural fibrosis of the plantar digital nerve leading to forefoot pain.  Classic symptoms include burning interdigital pain, numbness, and a “pebble in the shoe” sensation that worsens with tight footwear.",Metatarsalgia,Interdigital neuroma
3/30/2026 11:44:06,03/30/2026,USMLERx,No,43685.1,low,1-2,Yes,Which of the following is the most appropriate next step in the evaluation of this patient?,trouble waking up for class,"Difficulty getting to sleep at night, takes several hours to fall asleep, depressed mood",Yes,Delayed sleep phase syndrome,"Gets adequate sleep, but falls asleep at 3am",low_confidence_correct,The best methods for diagnosing delayed sleep phase syndrome are sleep logs and actigraphy.,Sleep logs and actigraphy,same as picked response
3/30/2026 11:51:23,03/30/2026,USMLERx,No,43274.1,medium,1-2,No,Which of the following is the most appropriate next step in management?,irregular mentrual cycles,"elevated androgens, OCP, facial acne, dark coarse chin hair, obesity",Yes,PCOS,"persistent facial acne and dark, coarse hair growing under her chin",management_gap,First-line treatment of hyperandrogenism is combined OCPs.  Second-line treatment for hyperandrogenism in PCOS is spironolactone.,Metformin,Spironolactone
3/30/2026 11:59:24,03/30/2026,USMLERx,No,42397.3,low,0,Yes,Which of the following is the most appropriate next step in pharmacotherapy?,racing heartbeat,"anxiety, Chest discomfort, nausea, tachycardia, ECG findings",Yes,Supraventricular tachycardia,regular narrow QRS with retrograde p-waves,low_confidence_correct,"The differential diagnosis of SVT is complex and includes AV reentrant tachycardia, atrial flutter, and focal atrial tachycardia.",Adenosine,same as picked response
3/30/2026 12:04:59,03/30/2026,USMLERx,No,43800.1,medium,5+,No,Which of the following is the most appropriate next step in management?,shortness of breath,"bilateral ground-glass opacities on CT, no LV findings, negative BAL, pembrolizumab therapy",Yes,Inflammatory pneumonitis,negative viral panel,missed_key_clue,"Inflammatory pneumonitis is evidenced by respiratory symptoms, bilateral ground-glass opacities on CT of the chest, no evidence of LV systolic of diastolic failure, and negative BAL microbiology.  Immune checkpoint inhibitors are known to cause irAEs, such as pneumonitis.  Steroids are the cornerstone of management for severe irAEs.",Oseltamivir,Intravenous methylprednisolone
3/30/2026 12:12:35,03/30/2026,USMLERx,No,43309.1,high,3-4,No,Which of the following adverse effects is most likely to develop as a result of the treatment prescribed to this patient?,difficulty moving the left side of his face,"raised, circular, erythematous rash on his left arm, camping trip in New England",Yes,Early disseminated Lyme disease,Physician prescribed the first-line medication for this diagnosis,missed_key_clue,"The most common adverse effects of doxycycline include photosensitivity, gastrointestinal distress, and the discoloration of teeth in children.",Tooth discoloration,Photosensitivity
3/30/2026 12:49:57,03/30/2026,USMLERx,No,43755.1,low,1-2,Yes,Which of the following is the most likely cause of the patient’s flank pain and hematuria?,bilateral flank pain,"hematuria, acetaminophen, NSAID, lisinopril, metoprolol, HTN, costovertebral tenderness, KUB normal",Yes,Renal papillary necrosis,"acetaminophen, indomethacin",low_confidence_correct,"papillary necrosis is diagnosed in a patient with a history of bilateral flank pain and hematuria in the setting of long-standing acetaminophen and NSAID use.  These drugs can potentially lead to sloughing of the renal papilla causing flank pain, intermittent obstruction, and gross hematuria.",Papillary necrosis,same as picked response
3/31/2026 10:17:00,03/31/2026,USMLERx,No,44216.2,medium,1-2,No,Which of the following is the most likely diagnosis?,chronic muscle and joint pain,"75 year-old woman, obesity, worse with activity and improves with rest, wrist and medial knee joint tenderness",Yes,Osteoarthritis,"elderly woman, pain worse with activity",did_not_recognize_pattern,A long history of joint pain that is worse with activity and improves with rest is a classic disease manifestation of OA.,Fibromyalgia,Osteoarthritis
3/31/2026 10:21:33,03/31/2026,USMLERx,No,23904.6,medium,0,Yes,Which of the following is the most likely contraindication to the addition of this medication?,history of schizophrenia,"risperidone, parkinsonism",Yes,Pseudoparkinsonism,risperidone (antidopaminergic),correct_wrong_reason,Anticholinergics such as benztropine are given to counteract drug-induced parkinsonism.  They are contraindicated in patients with acute-angle glaucoma,Acute-angle glaucoma,same as picked response
3/31/2026 10:29:32,03/31/2026,USMLERx,No,43759.1,medium,1-2,No,Which of the following is the most appropriate next step in evaluation?,nasal congestion,"27 hour newborn, cyanosis while breastfeeding that resolves when crying, stertor",Yes,Choanal atresia,"stertor, nasal congestion, feeding cyanosis",did_not_recognize_pattern,"Causes of noisy breathing in a neonate can include congenital obstruction along any point in the upper airway.  This can include choanal atresia, vascular rings and slings, laryngomalacia, tracheomalacia, subglottic hemangioma, and subglottic stenosis.",Direct flexible laryngoscopy,nasogastric tube passage
3/31/2026 10:33:11,03/31/2026,USMLERx,No,43734.1,low,0,Yes,Which of the following is the most appropriate next step in management?,yearly skin check,"history of multiple nonmelanoma skin cancers, farmer, superficial basal cell carcinoma",Yes,Recurrent basal cell carcinoma,superficial basal cell carcinoma,low_confidence_correct,The most appropriate treatment for recurrent BCCs at high-risk sites is Mohs micrographic surgery.,Mohs micrographic surgery,same as picked response
